year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points
2024,5,Round 5,2024-04-07 06:05:00+00:00,Cowboys,35,Titans,22,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-5/cowboys-v-titans/,1,13,57
2024,5,Round 5,2024-04-07 08:15:00+00:00,Raiders,41,Eels,8,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-5/raiders-v-eels/,1,33,49
2024,6,Round 6,2024-04-11 09:50:00+00:00,Knights,20,Roosters,22,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-6/knights-v-roosters/,0,-2,42
2024,6,Round 6,2024-04-12 08:00:00+00:00,Storm,16,Bulldogs,14,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/round-6/storm-v-bulldogs/,1,2,30
2024,6,Round 6,2024-04-12 10:00:00+00:00,Broncos,28,Dolphins,14,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-6/broncos-v-dolphins/,1,14,42
2024,6,Round 6,2024-04-13 05:00:00+00:00,Warriors,22,Sea Eagles,22,Go Media Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-6/warriors-v-sea-eagles/,0,0,44
2024,6,Round 6,2024-04-13 07:30:00+00:00,Eels,27,Cowboys,20,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-6/eels-v-cowboys/,1,7,47
2024,6,Round 6,2024-04-13 09:35:00+00:00,Rabbitohs,22,Sharks,34,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-6/rabbitohs-v-sharks/,0,-12,56
2024,6,Round 6,2024-04-14 06:05:00+00:00,Wests Tigers,12,Dragons,24,Campbelltown Sports Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-6/wests-tigers-v-dragons/,0,-12,36
2024,6,Round 6,2024-04-14 08:15:00+00:00,Raiders,21,Titans,20,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-6/raiders-v-titans/,1,1,41
2024,7,Round 7,2024-04-18 09:50:00+00:00,Roosters,12,Storm,18,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-7/roosters-v-storm/,0,-6,30
2024,7,Round 7,2024-04-19 08:00:00+00:00,Dragons,30,Warriors,12,WIN Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-7/dragons-v-warriors/,1,18,42
2024,7,Round 7,2024-04-19 10:00:00+00:00,Eels,16,Dolphins,44,TIO Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-7/eels-v-dolphins/,0,-28,60
2024,7,Round 7,2024-04-20 05:00:00+00:00,Panthers,22,Wests Tigers,6,Carrington Park,https://www.nrl.com/draw/nrl-premiership/2024/round-7/panthers-v-wests-tigers/,1,16,28
2024,7,Round 7,2024-04-20 07:30:00+00:00,Titans,30,Sea Eagles,34,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-7/titans-v-sea-eagles/,0,-4,64
2024,7,Round 7,2024-04-20 09:35:00+00:00,Broncos,34,Raiders,10,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-7/broncos-v-raiders/,1,24,44
2024,7,Round 7,2024-04-21 04:00:00+00:00,Bulldogs,36,Knights,12,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-7/bulldogs-v-knights/,1,24,48
2024,7,Round 7,2024-04-21 06:05:00+00:00,Sharks,42,Cowboys,6,PointsBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-7/sharks-v-cowboys/,1,36,48
2024,8,Round 8,2024-04-25 04:00:00+00:00,Warriors,24,Titans,27,Go Media Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-8/warriors-v-titans/,0,-3,51
2024,8,Round 8,2024-04-25 06:05:00+00:00,Dragons,18,Roosters,60,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-8/dragons-v-roosters/,0,-42,78
